Gender,Age,Annual Income (k$),Spending Score (1-100)
Male,19,15000,39
Male,21,15000,81
Female,20,16000,6
Female,23,16000,77
Female,31,17000,40
Female,22,17000,76
Female,35,18000,6
Female,23,18000,94
Male,64,19000,3
Female,30,19000,72
Male,67,19000,14
Female,35,19000,99
Female,58,20000,15
Female,24,20000,77
Male,37,20000,13
Male,22,20000,79
Female,35,21000,35
Male,20,21000,66
Male,52,23000,29
Female,35,23000,98
Male,35,24000,35
Male,25,24000,73
Female,46,25000,5
Male,31,25000,73
Female,54,28000,14
Male,29,28000,82
Female,45,28000,32
Male,35,28000,61
Female,40,29000,31
Female,23,29000,87
Male,60,30000,4
Female,21,30000,73
Male,53,33000,4
Male,18,33000,92
Female,49,33000,14
Female,21,33000,81
Female,42,34000,17
Female,30,34000,73
Female,36,37000,26
Female,20,37000,75
Female,65,38000,35
Male,24,38000,92
Male,48,39000,36
Female,31,39000,61
Female,49,39000,28
Female,24,39000,65
Female,50,40000,55
Female,27,40000,47
Female,29,40000,42
Female,31,40000,42
Female,49,42000,52
Male,33,42000,60
Female,31,43000,54
Male,59,43000,60
Female,50,43000,45
Male,47,43000,41
Female,51,44000,50
Male,69,44000,46
Female,27,46000,51
Male,53,46000,46
Male,70,46000,56
Male,19,46000,55
Female,67,47000,52
Female,54,47000,59
Male,63,48000,51
Male,18,48000,59
Female,43,48000,50
Female,68,48000,48
Male,19,48000,59
Female,32,48000,47
Male,70,49000,55
Female,47,49000,42
Female,60,50000,49
Female,60,50000,56
Male,59,54000,47
Male,26,54000,54
Female,45,54000,53
Male,40,54000,48
Female,23,54000,52
Female,49,54000,42
Male,57,54000,51
Male,38,54000,55
Male,67,54000,41
Female,46,54000,44
Female,21,54000,57
Male,48,54000,46
Female,55,57000,58
Female,22,57000,55
Female,34,58000,60
Female,50,58000,46
Female,68,59000,55
Male,18,59000,41
Male,48,60000,49
Female,40,60000,40
Female,32,60000,42
Male,24,60000,52
Female,47,60000,47
Female,27,60000,50
Male,48,61000,42
Male,20,61000,49
Female,23,62000,41
Female,49,62000,48
Male,67,62000,59
Male,26,62000,55
Male,49,62000,56
Female,21,62000,42
Female,66,63000,50
Male,54,63000,46
Male,68,63000,43
Male,66,63000,48
Male,65,63000,52
Female,19,63000,54
Female,38,64000,42
Male,19,64000,46
Female,18,65000,48
Female,19,65000,50
Female,63,65000,43
Female,49,65000,59
Female,51,67000,43
Female,50,67000,57
Male,27,67000,56
Female,38,67000,40
Female,40,69000,58
Male,39,69000,91
Female,23,70000,29
Female,31,70000,77
Male,43,71000,35
Male,40,71000,95
Male,59,71000,11
Male,38,71000,75
Male,47,71000,9
Male,39,71000,75
Female,25,72000,34
Female,31,72000,71
Male,20,73000,5
Female,29,73000,88
Female,44,73000,7
Male,32,73000,73
Male,19,74000,10
Female,35,74000,72
Female,57,75000,5
Male,32,75000,93
Female,28,76000,40
Female,32,76000,87
Male,25,77000,12
Male,28,77000,97
Male,48,77000,36
Female,32,77000,74
Female,34,78000,22
Male,34,78000,90
Male,43,78000,17
Male,39,78000,88
Female,44,78000,20
Female,38,78000,76
Female,47,78000,16
Female,27,78000,89
Male,37,78000,1
Female,30,78000,78
Male,34,78000,1
Female,30,78000,73
Female,56,79000,35
Female,29,79000,83
Male,19,81000,5
Female,31,81000,93
Male,50,85000,26
Female,36,85000,75
Male,42,86000,20
Female,33,86000,95
Female,36,87000,27
Male,32,87000,63
Male,40,87000,13
Male,28,87000,75
Male,36,87000,10
Male,36,87000,92
Female,52,88000,13
Female,30,88000,86
Male,58,88000,15
Male,27,88000,69
Male,59,93000,14
Male,35,93000,90
Female,37,97000,32
Female,32,97000,86
Male,46,98000,15
Female,29,98000,88
Female,41,99000,39
Male,30,99000,97
Female,54,101000,24
Male,28,101000,68
Female,41,103000,17
Female,36,103000,85
Female,34,103000,23
Female,32,103000,69
Male,33,113000,8
Female,38,113000,91
Female,47,120000,16
Female,35,120000,79
Female,45,126000,28
Male,32,126000,74
Male,32,137000,18
Male,30,137000,83
