Student_ID,CGPA,IQ,Placement
1,6.8,123,1
2,5.9,106,0
3,5.3,121,0
4,7.4,132,1
5,5.8,142,0
6,7.1,48,1
7,5.7,143,0
8,5,63,0
9,6.1,156,0
10,5.1,66,0
11,6,45,1
12,6.9,138,1
13,5.4,139,0
14,6.4,116,1
15,6.1,103,0
16,5.1,176,0
17,5.2,224,0
18,3.3,183,0
19,4,100,0
20,5.2,132,0
21,6.6,120,1
22,7.1,151,1
23,4.9,120,0
24,4.7,87,0
25,4.7,121,0
26,5,91,0
27,7,199,1
28,6,124,1
29,5.2,90,0
30,7,112,1
31,7.6,128,1
32,3.9,109,0
33,7,139,1
34,6,149,0
35,4.8,163,0
36,6.8,90,1
37,5.7,140,0
38,8.1,149,1
39,6.5,160,1
40,4.6,146,0
41,4.9,134,0
42,5.4,114,0
43,7.6,89,1
44,6.8,141,1
45,7.5,61,1
46,6,66,1
47,5.3,114,0
48,5.2,161,0
49,6.6,138,1
50,5.4,135,0
51,3.5,233,0
52,4.8,141,0
53,7,175,1
54,8.3,168,1
55,6.4,141,1
56,7.8,114,1
57,6.1,65,0
58,6.5,130,1
59,8,79,1
60,4.8,112,0
61,6.9,139,1
62,7.3,137,1
63,6,102,0
64,6.3,128,1
65,7,64,1
66,8.1,166,1
67,6.9,96,1
68,5,118,0
69,4,75,0
70,8.5,120,1
71,6.3,127,1
72,6.1,132,1
73,7.3,116,1
74,4.9,61,0
75,6.7,154,1
76,4.8,169,0
77,4.9,155,0
78,7.3,50,1
79,6.1,81,0
80,6.5,90,1
81,4.9,196,0
82,5.4,107,0
83,6.5,37,1
84,7.5,130,1
85,5.7,169,0
86,5.8,166,1
87,5.1,128,0
88,5.7,132,1
89,4.4,149,0
90,4.9,151,0
91,7.3,86,1
92,7.5,158,1
93,5.2,110,0
94,6.8,112,1
95,4.7,52,0
96,4.3,200,0
97,4.4,42,0
98,6.7,182,1
99,6.3,103,1
100,6.2,113,1
